Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,City,San Diego,Police,Police Officer II,False,False,,91624,110698,,107763,286351,16231,22666,433011,20698,0,0,8051,28749,3.0% @ 50,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Police,Police Sergeant,False,False,,111176,134410,,130837,256349,14688,14170,416044,22388,0,0,19246,41634,3.0% @ 50,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Police,Police Sergeant,False,False,,111176,134410,,130837,214001,40876,19601,405315,0,0,4729,24606,29335,3.0% @ 50,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Public Utilities,Administrative Aide II,False,False,,57450,69243,,10586,250,0,385897,396733,35344,0,17229,3,52576,2.5% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Retirement,Retirement Administrator,False,False,,111696,445973,,370141,0,0,12652,382793,47167,0,3177,0,50344,1.0% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Office Of The Chief Operating Officer,Chief Operating Officer,False,False,,111696,445973,,383291,0,0,-3378,379913,48278,0,3079,17542,68899,1.0% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Retirement,Investment Officer,False,False,,111696,445973,,362576,0,0,-7297,355279,49246,0,2967,21562,73775,1.0% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Police,Police Sergeant,False,False,,111176,134410,,130837,152543,28692,33394,345466,32455,0,0,9942,42397,3.0% @ 50,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Police,Police Sergeant,False,False,,111176,134410,,130837,147765,12864,35330,326796,29639,0,0,0,29639,3.0% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Police,Police Officer II,False,False,,91624,110698,,107763,180467,9804,23388,321422,20021,0,0,8965,28986,3.0% @ 50,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Police,Police Sergeant,False,False,,111176,134410,,130837,141525,0,46441,318803,30845,0,0,63,30908,3.0% @ 50,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Police,Police Officer II,False,False,,91624,110698,,103708,195781,1622,16808,317919,20790,0,0,24606,45396,3.0% @ 50,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Fire-Rescue,Fire Captain,False,False,,87069,105414,,49984,250502,1015,16062,317563,0,0,3770,20750,24520,3.0% @ 50,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
